id,homeAbbrev,awayAbbrev,est
2021020168,WSH,PHI,2021 November 06 19:00:00
2021020169,CBJ,COL,2021 November 06 19:00:00
2021020170,WPG,NYI,2021 November 06 19:00:00
2021020171,CGY,NYR,2021 November 06 22:00:00
2021020172,ARI,SEA,2021 November 06 22:00:00
2021020173,SJS,NJD,2021 November 06 22:30:00
2021020174,DET,VGK,2021 November 07 18:00:00
2021020175,CHI,NSH,2021 November 07 19:00:00
2021020176,MIN,NYI,2021 November 07 20:00:00
2021020177,VAN,DAL,2021 November 07 22:00:00
2021020178,ANA,STL,2021 November 07 20:00:00
2021020179,TOR,LAK,2021 November 08 19:30:00
2021020180,NYR,FLA,2021 November 08 19:00:00
2021020181,WSH,BUF,2021 November 08 19:00:00
2021020182,BOS,OTT,2021 November 09 19:00:00
2021020183,MTL,LAK,2021 November 09 19:00:00
2021020184,DET,EDM,2021 November 09 19:30:00
2021020185,TBL,CAR,2021 November 09 19:00:00
2021020186,NJD,FLA,2021 November 09 19:00:00
2021020187,CHI,PIT,2021 November 09 20:30:00
2021020188,WPG,STL,2021 November 09 20:00:00
2021020189,CGY,SJS,2021 November 09 21:00:00
2021020190,VAN,ANA,2021 November 09 22:00:00
2021020191,VGK,SEA,2021 November 09 22:00:00
2021020192,PHI,TOR,2021 November 10 19:30:00
2021020193,DAL,NSH,2021 November 10 20:30:00
2021020194,ARI,MIN,2021 November 10 22:00:00
2021020195,BOS,EDM,2021 November 11 19:00:00
2021020196,MTL,CGY,2021 November 11 19:00:00
2021020197,OTT,LAK,2021 November 11 19:00:00
2021020198,DET,WSH,2021 November 11 19:30:00
2021020199,NJD,NYI,2021 November 11 19:00:00
2021020200,PIT,FLA,2021 November 11 19:00:00
2021020201,STL,NSH,2021 November 11 20:00:00
2021020202,WPG,SJS,2021 November 11 20:00:00
2021020203,COL,VAN,2021 November 11 21:00:00
2021020204,VGK,MIN,2021 November 11 22:00:00
2021020205,SEA,ANA,2021 November 11 22:00:00
2021020206,BUF,EDM,2021 November 12 19:00:00
2021020207,TOR,CGY,2021 November 12 19:00:00
2021020208,CAR,PHI,2021 November 12 19:00:00
2021020209,CBJ,WSH,2021 November 12 19:00:00
2021020210,CHI,ARI,2021 November 12 20:30:00
2021020211,BUF,TOR,2021 November 13 19:00:00
2021020212,OTT,PIT,2021 November 13 19:00:00
2021020213,DET,MTL,2021 November 13 19:00:00
2021020214,TBL,FLA,2021 November 13 19:00:00
2021020215,NJD,BOS,2021 November 13 13:00:00
2021020216,CAR,STL,2021 November 13 19:30:00
2021020217,CBJ,NYR,2021 November 13 19:00:00
2021020218,NSH,ARI,2021 November 13 20:00:00
2021020219,DAL,PHI,2021 November 13 20:00:00
2021020220,WPG,LAK,2021 November 13 19:00:00
2021020221,COL,SJS,2021 November 13 21:00:00
2021020222,VGK,VAN,2021 November 13 22:00:00
2021020223,SEA,MIN,2021 November 13 22:00:00
2021020224,BOS,MTL,2021 November 14 19:00:00
2021020225,OTT,CGY,2021 November 14 17:00:00
2021020226,NYR,NJD,2021 November 14 19:00:00
2021020227,WSH,PIT,2021 November 14 19:00:00
2021020228,STL,EDM,2021 November 14 19:00:00
2021020229,ANA,VAN,2021 November 14 20:00:00
2021020230,TBL,NYI,2021 November 15 19:00:00
2021020231,CBJ,DET,2021 November 15 19:00:00
2021020232,TOR,NSH,2021 November 16 19:00:00
2021020233,FLA,NYI,2021 November 16 19:00:00
2021020234,NJD,OTT,2021 December 06 19:00:00
2021020235,NYR,MTL,2021 November 16 19:00:00
2021020236,PHI,CGY,2021 November 16 19:00:00
2021020237,PIT,BUF,2021 November 16 19:00:00
2021020238,STL,ARI,2021 November 16 20:00:00
2021020239,DAL,DET,2021 November 16 20:30:00
2021020240,MIN,SJS,2021 November 16 20:00:00
2021020241,WPG,EDM,2021 November 16 20:00:00
2021020242,VGK,CAR,2021 November 16 22:00:00
2021020243,ANA,WSH,2021 November 16 22:00:00
2021020244,VAN,COL,2021 November 17 21:00:00
2021020245,LAK,WSH,2021 November 17 22:30:00
2021020246,SEA,CHI,2021 November 17 22:00:00
2021020247,BUF,CGY,2021 November 18 19:00:00
2021020248,TOR,NYR,2021 November 18 19:00:00
2021020249,MTL,PIT,2021 November 18 19:00:00
2021020250,OTT,NSH,2022 April 07 19:00:00
2021020251,FLA,NJD,2021 November 18 19:00:00
2021020252,PHI,TBL,2021 November 18 19:00:00
2021020253,STL,SJS,2021 November 18 20:00:00
2021020254,MIN,DAL,2021 November 18 20:00:00
2021020255,EDM,WPG,2021 November 18 21:00:00
2021020256,ARI,CBJ,2021 November 18 21:00:00
2021020257,VGK,DET,2021 November 18 22:00:00
2021020258,ANA,CAR,2021 November 18 22:00:00
2021020259,VAN,WPG,2021 November 19 22:00:00
2021020260,SEA,COL,2021 November 19 22:00:00
2021020261,TOR,PIT,2021 November 20 19:00:00
2021020262,MTL,NSH,2021 November 20 19:00:00
2021020263,OTT,NYR,2022 February 20 17:00:00
2021020264,TBL,NJD,2021 November 20 16:00:00
2021020265,FLA,MIN,2021 November 20 18:00:00
2021020266,NYI,CGY,2021 November 20 19:00:00
2021020267,PHI,BOS,2021 November 20 19:00:00
2021020268,DAL,STL,2021 November 20 20:00:00
2021020269,EDM,CHI,2021 November 20 22:00:00
2021020270,ARI,DET,2021 November 20 20:00:00
2021020271,VGK,CBJ,2021 November 20 22:00:00
2021020272,LAK,CAR,2021 November 20 16:00:00
2021020273,SJS,WSH,2021 November 20 22:30:00
2021020274,BOS,CGY,2021 November 21 19:00:00
2021020275,TBL,MIN,2021 November 21 17:00:00
2021020276,NYI,TOR,2021 November 21 19:30:00
2021020277,NYR,BUF,2021 November 21 18:00:00
2021020278,VAN,CHI,2021 November 21 20:00:00
2021020279,LAK,ARI,2021 November 21 22:00:00
2021020280,SEA,WSH,2021 November 21 21:00:00
2021020281,BUF,CBJ,2021 November 22 19:00:00
2021020282,STL,VGK,2021 November 22 20:00:00
2021020283,NSH,ANA,2021 November 22 20:00:00
2021020284,WPG,PIT,2021 November 22 20:30:00
2021020285,COL,OTT,2021 November 22 20:30:00
2021020286,SJS,CAR,2021 November 22 22:30:00
2021020287,TBL,PHI,2021 November 23 19:00:00
2021020288,DAL,EDM,2021 November 23 20:30:00
2021020289,CGY,CHI,2021 November 23 21:00:00
2021020290,BUF,BOS,2021 November 24 19:00:00
2021020291,DET,STL,2021 November 24 19:30:00
2021020292,FLA,PHI,2021 November 24 19:00:00
2021020293,NJD,MIN,2021 November 24 19:00:00
2021020294,NYI,NYR,2021 November 24 19:30:00
2021020295,PIT,VAN,2021 November 24 19:00:00
2021020296,WSH,MTL,2021 November 24 19:00:00
2021020297,CBJ,WPG,2021 November 24 19:00:00
2021020298,NSH,VGK,2021 November 24 20:00:00
2021020299,COL,ANA,2021 November 24 21:00:00
2021020300,ARI,EDM,2021 November 24 22:00:00
2021020301,LAK,TOR,2021 November 24 22:00:00
2021020302,SJS,OTT,2021 November 24 22:30:00
2021020303,SEA,CAR,2021 November 24 22:00:00
2021020304,BOS,NYR,2021 November 26 13:00:00
2021020305,BUF,MTL,2021 November 26 19:00:00
2021020306,TBL,SEA,2021 November 26 19:00:00
2021020307,NYI,PIT,2021 November 26 19:30:00
2021020308,PHI,CAR,2021 November 26 15:30:00
2021020309,WSH,FLA,2021 November 26 17:00:00
2021020310,CBJ,VAN,2021 November 26 19:00:00
2021020311,CHI,STL,2021 November 26 15:30:00
2021020312,NSH,NJD,2021 November 26 18:00:00
2021020313,DAL,COL,2021 November 26 19:30:00
2021020314,MIN,WPG,2021 November 26 15:30:00
2021020315,ANA,OTT,2021 November 26 16:00:00
2021020316,SJS,TOR,2021 November 26 22:30:00
2021020317,DET,BUF,2021 November 27 19:00:00
2021020318,FLA,SEA,2021 November 27 18:00:00
2021020319,PIT,MTL,2021 November 27 19:00:00
2021020320,STL,CBJ,2021 November 27 20:00:00
2021020321,COL,NSH,2021 November 27 21:00:00
2021020322,CGY,WPG,2021 November 27 22:00:00
2021020323,ARI,DAL,2021 November 27 20:00:00
2021020324,VGK,EDM,2021 November 27 19:00:00
2021020325,LAK,OTT,2021 November 27 19:00:00
2021020326,BOS,VAN,2021 November 28 19:00:00
2021020327,NJD,PHI,2021 November 28 19:00:00
2021020328,NYR,NYI,2022 March 17 19:00:00
2021020329,CAR,WSH,2021 November 28 13:00:00
2021020330,CHI,SJS,2021 November 28 19:00:00
2021020331,MIN,TBL,2021 November 28 14:00:00
2021020332,ANA,TOR,2021 November 28 20:00:00
2021020333,BUF,SEA,2021 November 29 19:00:00
