id,homeAbbrev,awayAbbrev,est
2024020198,NYI,PIT,2024 November 05 19:30:00
2024020199,STL,TBL,2024 November 05 20:00:00
2024020200,MIN,LAK,2024 November 05 20:00:00
2024020201,WPG,UTA,2024 November 05 20:00:00
2024020202,COL,SEA,2024 November 05 21:00:00
2024020203,ANA,VAN,2024 November 05 22:00:00
2024020204,SJS,CBJ,2024 November 05 22:30:00
2024020205,WSH,NSH,2024 November 06 19:00:00
2024020206,CHI,DET,2024 November 06 20:00:00
2024020207,EDM,VGK,2024 November 06 20:30:00
2024020208,BOS,CGY,2024 November 07 19:00:00
2024020209,OTT,NYI,2024 November 07 19:00:00
2024020210,TBL,PHI,2024 November 07 19:30:00
2024020211,FLA,NSH,2024 November 07 19:00:00
2024020212,NJD,MTL,2024 November 07 19:00:00
2024020213,NYR,BUF,2024 November 07 19:00:00
2024020214,CAR,PIT,2024 November 07 19:00:00
2024020215,STL,UTA,2024 November 07 20:00:00
2024020216,DAL,CHI,2024 November 07 20:00:00
2024020217,WPG,COL,2024 November 07 20:00:00
2024020218,LAK,VAN,2024 November 07 22:30:00
2024020219,SJS,MIN,2024 November 07 22:30:00
2024020220,TOR,DET,2024 November 08 19:00:00
2024020221,WSH,PIT,2024 November 08 19:30:00
2024020222,ANA,MIN,2024 November 08 22:00:00
2024020223,SEA,VGK,2024 November 08 22:00:00
2024020224,BUF,CGY,2024 November 09 13:00:00
2024020225,FLA,PHI,2024 November 09 18:00:00
2024020226,BOS,OTT,2024 November 09 19:00:00
2024020227,TOR,MTL,2024 November 09 19:00:00
2024020228,DET,NYR,2024 November 09 19:00:00
2024020229,STL,WSH,2024 November 09 19:00:00
2024020230,WPG,DAL,2024 November 09 15:00:00
2024020231,NYI,NJD,2024 November 09 19:30:00
2024020232,NSH,UTA,2024 November 09 20:00:00
2024020233,COL,CAR,2024 November 09 21:00:00
2024020234,LAK,CBJ,2024 November 09 21:00:00
2024020235,VAN,EDM,2024 November 09 22:00:00
2024020236,NJD,SJS,2024 November 10 19:00:00
2024020237,CHI,MIN,2024 November 10 19:00:00
2024020238,ANA,CBJ,2024 November 10 20:00:00
2024020239,BUF,MTL,2024 November 11 12:30:00
2024020240,PHI,SJS,2024 November 11 19:00:00
2024020241,PIT,DAL,2024 November 11 19:00:00
2024020242,CGY,LAK,2024 November 11 20:30:00
2024020243,COL,NSH,2024 November 11 21:00:00
2024020244,VGK,CAR,2024 November 11 22:00:00
2024020245,TOR,OTT,2024 November 12 19:00:00
2024020246,FLA,NJD,2024 November 12 19:30:00
2024020247,NYR,WPG,2024 November 12 19:00:00
2024020248,STL,BOS,2024 November 12 20:00:00
2024020249,EDM,NYI,2024 November 12 21:00:00
2024020250,VAN,CGY,2024 November 12 22:00:00
2024020251,SEA,CBJ,2024 November 12 22:00:00
2024020252,PIT,DET,2024 November 13 19:30:00
2024020253,WSH,TOR,2024 November 13 19:30:00
2024020254,UTA,CAR,2024 November 13 21:00:00
2024020255,COL,LAK,2024 November 13 22:00:00
2024020256,ANA,VGK,2024 November 13 22:00:00
2024020257,BUF,STL,2024 November 14 19:30:00
2024020258,OTT,PHI,2024 November 14 19:00:00
2024020259,TBL,WPG,2024 November 14 19:00:00
2024020260,FLA,NJD,2024 November 14 19:00:00
2024020261,NYR,SJS,2024 November 14 19:00:00
2024020262,DAL,BOS,2024 November 14 20:00:00
2024020263,MIN,MTL,2024 November 14 20:00:00
2024020264,EDM,NSH,2024 November 14 21:00:00
2024020265,VAN,NYI,2024 November 14 22:00:00
2024020266,SEA,CHI,2024 November 14 22:00:00
2024020267,CBJ,PIT,2024 November 15 19:00:00
2024020268,COL,WSH,2024 November 15 21:00:00
2024020269,CGY,NSH,2024 November 15 21:00:00
2024020270,UTA,VGK,2024 November 15 21:00:00
2024020271,ANA,DET,2024 November 15 22:00:00
2024020272,BOS,STL,2024 November 16 13:00:00
2024020273,SEA,NYI,2024 November 16 16:00:00
2024020274,TOR,EDM,2024 November 16 19:00:00
2024020275,MTL,CBJ,2024 November 16 19:00:00
2024020276,TBL,NJD,2024 November 16 19:00:00
2024020277,FLA,WPG,2024 November 16 19:00:00
2024020278,PHI,BUF,2024 November 16 19:00:00
2024020279,PIT,SJS,2024 November 16 19:00:00
2024020280,CAR,OTT,2024 November 16 19:00:00
2024020281,MIN,DAL,2024 November 16 20:00:00
2024020282,LAK,DET,2024 November 16 20:00:00
2024020283,VAN,CHI,2024 November 16 22:00:00
2024020284,CAR,STL,2024 November 17 17:00:00
2024020285,VAN,NSH,2024 November 17 22:00:00
2024020286,VGK,WSH,2024 November 17 20:00:00
2024020287,SEA,NYR,2024 November 17 21:00:00
2024020288,BOS,CBJ,2024 November 18 19:00:00
2024020289,PHI,COL,2024 November 18 19:00:00
2024020290,MTL,EDM,2024 November 18 19:30:00
2024020291,DAL,ANA,2024 November 18 20:00:00
2024020292,UTA,WSH,2024 November 18 21:00:00
2024020293,SJS,DET,2024 November 18 22:30:00
2024020294,OTT,EDM,2024 November 19 19:00:00
2024020295,PIT,TBL,2024 November 19 19:00:00
2024020296,STL,MIN,2024 November 19 20:00:00
2024020297,WPG,FLA,2024 November 19 20:00:00
2024020298,CHI,ANA,2024 November 19 20:30:00
2024020299,CGY,NYI,2024 November 19 21:00:00
2024020300,VAN,NYR,2024 November 19 22:00:00
2024020301,TOR,VGK,2024 November 20 19:30:00
2024020302,PHI,CAR,2024 November 20 19:30:00
2024020303,DAL,SJS,2024 November 20 20:00:00
2024020304,SEA,NSH,2024 November 20 22:00:00
2024020305,LAK,BUF,2024 November 20 22:30:00
2024020306,BOS,UTA,2024 November 21 19:00:00
2024020307,OTT,VGK,2024 November 21 19:00:00
2024020308,DET,NYI,2024 November 21 19:00:00
2024020309,NJD,CAR,2024 November 21 19:00:00
2024020310,WSH,COL,2024 November 21 19:00:00
2024020311,CBJ,TBL,2024 November 21 19:00:00
2024020312,STL,SJS,2024 November 21 20:00:00
2024020313,CHI,FLA,2024 November 21 20:30:00
2024020314,CGY,NYR,2024 November 21 21:00:00
2024020315,EDM,MIN,2024 November 21 21:00:00
2024020316,PIT,WPG,2024 November 22 19:00:00
2024020317,ANA,BUF,2024 November 22 22:00:00
2024020318,PHI,CHI,2024 November 23 13:00:00
2024020319,CGY,MIN,2024 November 23 16:00:00
2024020320,LAK,SEA,2024 November 23 16:00:00
2024020321,FLA,COL,2024 November 23 18:00:00
2024020322,MTL,VGK,2024 November 23 19:00:00
2024020323,OTT,VAN,2024 November 23 19:00:00
2024020324,DET,BOS,2024 November 23 19:00:00
2024020325,TBL,DAL,2024 November 23 19:00:00
2024020326,PIT,UTA,2024 November 23 19:00:00
2024020327,WSH,NJD,2024 November 23 19:00:00
2024020328,CBJ,CAR,2024 November 23 19:00:00
2024020329,NSH,WPG,2024 November 23 19:00:00
2024020330,NYI,STL,2024 November 23 19:30:00
2024020331,SJS,BUF,2024 November 23 20:00:00
2024020332,EDM,NYR,2024 November 23 22:00:00
2024020333,TOR,UTA,2024 November 24 19:00:00
2024020334,TBL,COL,2024 November 25 19:00:00
2024020335,FLA,WSH,2024 November 25 19:00:00
2024020336,NJD,NSH,2024 November 25 19:00:00
2024020337,NYR,STL,2024 November 25 19:00:00
2024020338,PHI,VGK,2024 November 25 19:00:00
2024020339,CAR,DAL,2024 November 25 19:00:00
2024020340,OTT,CGY,2024 November 25 19:30:00
2024020341,NYI,DET,2024 November 25 19:30:00
2024020342,MIN,WPG,2024 November 25 20:00:00
2024020343,ANA,SEA,2024 November 25 22:00:00
2024020344,SJS,LAK,2024 November 25 22:30:00
2024020345,BOS,VAN,2024 November 26 19:00:00
2024020346,MTL,UTA,2024 November 26 19:00:00
2024020347,BUF,MIN,2024 November 27 19:00:00
2024020348,NJD,STL,2024 November 27 19:00:00
2024020349,CAR,NYR,2024 November 27 19:00:00
2024020350,DET,CGY,2024 November 27 19:30:00
2024020351,TBL,WSH,2024 November 27 19:30:00
2024020352,FLA,TOR,2024 November 27 19:30:00
2024020353,NYI,BOS,2024 November 27 19:30:00
2024020354,PIT,VAN,2024 November 27 19:30:00
2024020355,CBJ,MTL,2024 November 27 19:30:00
2024020356,NSH,PHI,2024 November 27 20:00:00
2024020357,CHI,DAL,2024 November 27 20:30:00
2024020358,COL,VGK,2024 November 27 22:00:00
2024020359,LAK,WPG,2024 November 27 22:00:00
2024020360,SEA,ANA,2024 November 27 22:00:00
2024020361,SJS,OTT,2024 November 27 22:30:00
2024020362,PHI,NYR,2024 November 29 13:00:00
2024020363,MIN,CHI,2024 November 29 14:00:00
2024020364,BUF,VAN,2024 November 29 15:00:00
2024020365,DET,NJD,2024 November 29 15:00:00
2024020366,WSH,NYI,2024 November 29 15:00:00
2024020367,CAR,FLA,2024 November 29 15:00:00
2024020368,CBJ,CGY,2024 November 29 15:00:00
